,raw_상권_구분_코드_명,raw_상권_코드,raw_상권_코드_명,geometry
0,전통시장,1001453,낙성대시장,POINT (126.956145291245 37.47818636029834)
1,전통시장,1001454,봉천제일종합시장,POINT (126.9451314016968 37.48114607911253)
2,전통시장,1001474,도곡시장,POINT (127.0514653635385 37.49749188952855)
3,전통시장,1001475,강남개포시장,POINT (127.0685789942632 37.4892209605042)
4,전통시장,1001412,화곡본동시장,POINT (126.8438799796243 37.54336005991937)
5,전통시장,1001413,까치산시장,POINT (126.8471834209496 37.53260644735189)
6,전통시장,1001414,송화골목시장,POINT (126.8355499326782 37.5493494001575)
7,전통시장,1001452,중부시장,POINT (126.9561868577655 37.48444838766603)
8,전통시장,1001415,방신전통시장,POINT (126.8124997170094 37.5714164710365)
9,전통시장,1001416,공항시장,POINT (126.8082777886968 37.56245380394414)
10,전통시장,1001423,독산동 우시장,POINT (126.8965686560997 37.46689561401845)
11,전통시장,1001424,남문시장,POINT (126.9011039323468 37.47366608412182)
12,전통시장,1001425,푸른터시장,POINT (126.9014146962058 37.47806327000342)
13,전통시장,1001426,대명시장,POINT (126.9022598496636 37.45414213105497)
14,전통시장,1001427,현대시장,POINT (126.9028550235952 37.45710695313223)
15,전통시장,1001428,박미시장,POINT (126.9051142895802 37.44018775231593)
16,전통시장,1001429,은행나무시장,POINT (126.9095530824832 37.45130974656838)
17,전통시장,1001470,강남시장_강남,POINT (127.0206892751433 37.51878302313745)
18,전통시장,1001372,녹번시장,POINT (126.9311146820255 37.60101674508633)
19,전통시장,1001373,신응암시장,POINT (126.9185974612581 37.59424233344807)
20,전통시장,1001374,대림골목시장,POINT (126.9172918773894 37.58709655913415)
21,전통시장,1001480,새마을시장,POINT (127.0848726886618 37.50905053111977)
22,전통시장,1001440,노량진중앙시장,POINT (126.9446675930643 37.51214949746151)
23,전통시장,1001441,본동인정시장,POINT (126.9506286229728 37.51178272773113)
24,전통시장,1001442,신노량진시장,POINT (126.9396937817514 37.50849799489977)
25,전통시장,1001443,강남시장_동작,POINT (126.9533863700639 37.49692626946366)
26,전통시장,1001444,상도전통시장,POINT (126.9521183919625 37.49916025807592)
27,전통시장,1001445,영도시장,POINT (126.9404888386199 37.50429070468034)
28,전통시장,1001446,성대시장,POINT (126.9313095856662 37.49976267532012)
29,전통시장,1001375,증산종합시장,POINT (126.9052406811303 37.58168154241062)
30,전통시장,1001376,수일시장,POINT (126.8951400956059 37.58309657123012)
31,전통시장,1001460,관악신사시장,POINT (126.9168492077524 37.48619322743413)
32,전통시장,1001461,신림종합시장,POINT (126.9170657414088 37.48465265576552)
33,전통시장,1001462,강남골목시장,POINT (126.9048231598224 37.48267021970608)
